name,idnumber,description,contextid,visible
นักเรียน ปวช.3/ช่างไฟฟ้า/1,STD-D3-ELE-1,นักเรียนระดับ ปวช. ชั้นปีที่ 3 สาขาวิชาช่างไฟฟ้ากำลัง กลุ่ม 1,1,1
นักเรียน ปวช.3/ช่างไฟฟ้า/2,STD-D3-ELE-2,นักเรียนระดับ ปวช. ชั้นปีที่ 3 สาขาวิชาช่างไฟฟ้ากำลัง กลุ่ม 2,1,1
นักศึกษา ปวส.1/ช่างไฟฟ้า/1,STD-H1-ELE-1,นักศึกษาระดับ ปวส. ชั้นปีที่ 1 สาขาวิชาไฟฟ้ากำลัง กลุ่ม 1,1,1
นักศึกษา ปวส.2/ช่างไฟฟ้า/1,STD-H2-ELE-1,นักศึกษาระดับ ปวส. ชั้นปีที่ 2 สาขาวิชาไฟฟ้ากำลัง กลุ่ม 1,1,1
นักเรียน ปวช.1/ช่างอิเล็กทรอนิกส์/1,STD-D1-ECT-1,นักเรียนระดับ ปวช. ชั้นปีที่ 1 สาขาวิชาช่างอิเล็กทรอนิกส์ กลุ่ม 1,1,1
นักเรียน ปวช.1/ช่างอิเล็กทรอนิกส์/2,STD-D1-ECT-2,นักเรียนระดับ ปวช. ชั้นปีที่ 1 สาขาวิชาช่างอิเล็กทรอนิกส์ กลุ่ม 2,1,1
นักเรียน ปวช.2/ช่างอิเล็กทรอนิกส์/1,STD-D2-ECT-1,นักเรียนระดับ ปวช. ชั้นปีที่ 2 สาขาวิชาช่างอิเล็กทรอนิกส์ กลุ่ม 1,1,1
นักเรียน ปวช.2/ช่างอิเล็กทรอนิกส์/2,STD-D2-ECT-2,นักเรียนระดับ ปวช. ชั้นปีที่ 2 สาขาวิชาช่างอิเล็กทรอนิกส์ กลุ่ม 2,1,1
นักเรียน ปวช.3/ช่างอิเล็กทรอนิกส์/1,STD-D3-ECT-1,นักเรียนระดับ ปวช. ชั้นปีที่ 3 สาขาวิชาช่างอิเล็กทรอนิกส์ กลุ่ม 1,1,1
นักเรียน ปวช.3/ช่างอิเล็กทรอนิกส์/2,STD-D3-ECT-2,นักเรียนระดับ ปวช. ชั้นปีที่ 3 สาขาวิชาช่างอิเล็กทรอนิกส์ กลุ่ม 2,1,1
นักศึกษา ปวส.1/อิเล็กทรอนิกส์อุตสาหกรรม/1,STD-H1-ECT-1,นักศึกษาระดับ ปวส. ชั้นปีที่ 1 สาขาวิชาอิเล็กทรอนิกส์อุตสาหกรรม กลุ่ม 1,1,1
นักศึกษา ปวส.2/อิเล็กทรอนิกส์อุตสาหกรรม/1,STD-H2-ECT-1,นักศึกษาระดับ ปวส. ชั้นปีที่ 2 สาขาวิชาอิเล็กทรอนิกส์อุตสาหกรรม กลุ่ม 1,1,1
นักเรียน ปวช.1/คอมพิวเตอร์/1,STD-D1-ICT-1,นักเรียนระดับ ปวช. ชั้นปีที่ 1 สาขาวิชาเทคโนโลยีสารสนเทศ กลุ่ม 1,1,1
นักเรียน ปวช.1/คอมพิวเตอร์/2,STD-D1-ICT-2,นักเรียนระดับ ปวช. ชั้นปีที่ 1 สาขาวิชาเทคโนโลยีสารสนเทศ กลุ่ม 2,1,1
นักเรียน ปวช.2/คอมพิวเตอร์/1,STD-D2-ICT-1,นักเรียนระดับ ปวช. ชั้นปีที่ 2 สาขาวิชาเทคโนโลยีสารสนเทศ กลุ่ม 1,1,1
นักเรียน ปวช.2/คอมพิวเตอร์/2,STD-D2-ICT-2,นักเรียนระดับ ปวช. ชั้นปีที่ 2 สาขาวิชาเทคโนโลยีสารสนเทศ กลุ่ม 2,1,1
นักเรียน ปวช.3/คอมพิวเตอร์/1,STD-D3-ICT-1,นักเรียนระดับ ปวช. ชั้นปีที่ 3 สาขาวิชาเทคโนโลยีสารสนเทศ กลุ่ม 1,1,1
นักเรียน ปวช.3/คอมพิวเตอร์/2,STD-D3-ICT-2,นักเรียนระดับ ปวช. ชั้นปีที่ 3 สาขาวิชาเทคโนโลยีสารสนเทศ กลุ่ม 2,1,1
นักศึกษา ปวส.1/เทคโนโลยีคอมพิวเตอร์/1,STD-H1-ICT-1,นักศึกษาระดับ ปวส. ชั้นปีที่ 1 สาขาวิชาเทคโนโลยีคอมพิวเตอร์ กลุ่ม 1,1,1
นักศึกษา ปวส.1/เทคโนโลยีคอมพิวเตอร์/2,STD-H1-ICT-2,นักศึกษาระดับ ปวส. ชั้นปีที่ 1 สาขาวิชาเทคโนโลยีคอมพิวเตอร์ กลุ่ม 2,1,1
นักศึกษา ปวส.2/เทคโนโลยีคอมพิวเตอร์/1,STD-H2-ICT-1,นักศึกษาระดับ ปวส. ชั้นปีที่ 2 สาขาวิชาเทคโนโลยีคอมพิวเตอร์ กลุ่ม 1,1,1
นักศึกษา ปวส.2/เทคโนโลยีคอมพิวเตอร์/2,STD-H2-ICT-2,นักศึกษาระดับ ปวส. ชั้นปีที่ 2 สาขาวิชาเทคโนโลยีคอมพิวเตอร์ กลุ่ม 2,1,1
นักเรียน ปวช.1/คอมพิวเตอร์ธุรกิจ/1,STD-D1-BIT-1,นักเรียนระดับ ปวช. ชั้นปีที่ 1 สาขาวิชาคอมพิวเตอร์ธุรกิจ กลุ่ม 1,1,1
นักเรียน ปวช.1/คอมพิวเตอร์ธุรกิจ/2,STD-D1-BIT-2,นักเรียนระดับ ปวช. ชั้นปีที่ 1 สาขาวิชาคอมพิวเตอร์ธุรกิจ กลุ่ม 2,1,1
นักเรียน ปวช.2/คอมพิวเตอร์ธุรกิจ/1,STD-D2-BIT-1,นักเรียนระดับ ปวช. ชั้นปีที่ 2 สาขาวิชาคอมพิวเตอร์ธุรกิจ กลุ่ม 1,1,1
นักเรียน ปวช.2/คอมพิวเตอร์ธุรกิจ/2,STD-D2-BIT-2,นักเรียนระดับ ปวช. ชั้นปีที่ 2 สาขาวิชาคอมพิวเตอร์ธุรกิจ กลุ่ม 2,1,1
นักเรียน ปวช.3/คอมพิวเตอร์ธุรกิจ/1,STD-D3-BIT-1,นักเรียนระดับ ปวช. ชั้นปีที่ 3 สาขาวิชาคอมพิวเตอร์ธุรกิจ กลุ่ม 1,1,1
นักเรียน ปวช.3/คอมพิวเตอร์ธุรกิจ/2,STD-D3-BIT-2,นักเรียนระดับ ปวช. ชั้นปีที่ 3 สาขาวิชาคอมพิวเตอร์ธุรกิจ กลุ่ม 2,1,1
นักศึกษา ปวส.1/เทคโนโลยีธุรกิจดิจิทัล/1,STD-H1-BIT-1,นักศึกษาระดับ ปวส. ชั้นปีที่ 1 สาขาวิชาเทคโนโลยีธุรกิจดิจิทัล กลุ่ม 1,1,1
นักศึกษา ปวส.2/เทคโนโลยีธุรกิจดิจิทัล/1,STD-H2-BIT-1,นักศึกษาระดับ ปวส. ชั้นปีที่ 2 สาขาวิชาเทคโนโลยีธุรกิจดิจิทัล กลุ่ม 1,1,1
นักเรียน ปวช.1/โทรคมนาคม/1,STD-D1-TEL-1,นักเรียนระดับ ปวช. ชั้นปีที่ 1 สาขาวิชาเทคนิคโทรคมนาคม กลุ่ม 1,1,1
นักเรียน ปวช.2/โทรคมนาคม/1,STD-D2-TEL-1,นักเรียนระดับ ปวช. ชั้นปีที่ 2 สาขาวิชาเทคนิคโทรคมนาคม กลุ่ม 1,1,1
นักเรียน ปวช.3/โทรคมนาคม/1,STD-D3-TEL-1,นักเรียนระดับ ปวช. ชั้นปีที่ 3 สาขาวิชาเทคนิคโทรคมนาคม กลุ่ม 1,1,1
นักศึกษา ปวส.1/โทรคมนาคม/1,STD-H1-TEL-1,นักศึกษาระดับ ปวส. ชั้นปีที่ 1 สาขาวิชาเทคโนโลยีโทรคมนาคม กลุ่ม 1,1,1
นักศึกษา ปวส.2/โทรคมนาคม/1,STD-H2-TEL-1,นักศึกษาระดับ ปวส. ชั้นปีที่ 2 สาขาวิชาเทคโนโลยีโทรคมนาคม กลุ่ม 1,1,1
นักเรียน ปวช.1/การบัญชี/1,STD-D1-ACC-1,นักเรียนระดับ ปวช. ชั้นปีที่ 1 สาขาวิชาการบัญชี กลุ่ม 1,1,1
นักเรียน ปวช.1/การบัญชี/2,STD-D1-ACC-2,นักเรียนระดับ ปวช. ชั้นปีที่ 1 สาขาวิชาการบัญชี กลุ่ม 2,1,1
นักเรียน ปวช.2/การบัญชี/1,STD-D2-ACC-1,นักเรียนระดับ ปวช. ชั้นปีที่ 2 สาขาวิชาการบัญชี กลุ่ม 1,1,1
นักเรียน ปวช.2/การบัญชี/2,STD-D2-ACC-2,นักเรียนระดับ ปวช. ชั้นปีที่ 2 สาขาวิชาการบัญชี กลุ่ม 2,1,1
นักเรียน ปวช.3/การบัญชี/1,STD-D3-ACC-1,นักเรียนระดับ ปวช. ชั้นปีที่ 3 สาขาวิชาการบัญชี กลุ่ม 1,1,1
นักเรียน ปวช.3/การบัญชี/2,STD-D3-ACC-2,นักเรียนระดับ ปวช. ชั้นปีที่ 3 สาขาวิชาการบัญชี กลุ่ม 2,1,1
นักศึกษา ปวส.1/การบัญชี/1,STD-H1-ACC-1,นักศึกษาระดับ ปวส. ชั้นปีที่ 1 สาขาวิชาการบัญชี กลุ่ม 1,1,1
นักศึกษา ปวส.2/การบัญชี/1,STD-H2-ACC-1,นักศึกษาระดับ ปวส. ชั้นปีที่ 2 สาขาวิชาการบัญชี กลุ่ม 1,1,1
ครู - แผนกช่างยนต์,TCH-YON,ครูสังกัดแผนกวิชาช่างยนต์,1,1
ครู - แผนกช่างกลโรงงาน,TCH-MCH,ครูสังกัดแผนกวิชาช่างกลโรงงาน,1,1
ครู - แผนกช่างไฟฟ้ากำลัง,TCH-ELE,ครูสังกัดแผนกวิชาช่างไฟฟ้ากำลัง,1,1
ครู - แผนกช่างอิเล็กทรอนิกส์,TCH-ECT,ครูสังกัดแผนกวิชาช่างอิเล็กทรอนิกส์,1,1
ครู - แผนกช่างก่อสร้าง,TCH-CON,ครูสังกัดแผนกวิชาช่างก่อสร้าง,1,1
ครู - แผนกเทคโนโลยีสารสนเทศ,TCH-ICT,ครูสังกัดแผนกวิชาเทคโนโลยีสารสนเทศและคอมพิวเตอร์,1,1
ครู - แผนกการบัญชี,TCH-ACC,ครูสังกัดแผนกวิชาการบัญชี,1,1
ครู - แผนกการตลาด,TCH-MKT,ครูสังกัดแผนกวิชาการตลาด,1,1
ครู - แผนกคอมพิวเตอร์ธุรกิจ,TCH-BIT,ครูสังกัดแผนกวิชาคอมพิวเตอร์ธุรกิจ,1,1
ครู - แผนกโทรคมนาคม,TCH-TEL,ครูสังกัดแผนกวิชาเทคนิคโทรคมนาคม,1,1
ครู - แผนกสามัญสัมพันธ์,TCH-GEN,ครูสังกัดแผนกวิชาสามัญสัมพันธ์ (ภาษาไทย คณิตศาสตร์ วิทยาศาสตร์ ภาษาอังกฤษ สังคมศึกษา),1,1
ผู้บริหาร,ADMIN-MNG,ผู้บริหารวิทยาลัย (ผู้อำนวยการ รองผู้อำนวยการ),1,1
หัวหน้าแผนกวิชา,ADMIN-HEAD,หัวหน้าแผนกวิชาต่างๆ,1,1
ครูที่ปรึกษา,ADMIN-ADV,ครูที่ปรึกษาระดับ ปวช. และ ปวส.,1,1
